MoldCutterID,CutterID,MoldDesignID,MoldID,DateEntry,MoldCutterNotes
1048,685,2553,4095,16-Aug-24,
814,686,1498,1899,16-Aug-24,
815,686,1499,3863,16-Aug-24,
803,687,1500,1891,16-Aug-24,
809,688,1501,756,16-Aug-24,
810,689,1509,773,16-Aug-24,
813,690,1499,3863,16-Aug-24,
800,692,1473,3850,16-Aug-24,
807,693,1515,1819,16-Aug-24,
801,694,1516,1805,16-Aug-24,
567,695,407,2917,16-Aug-24,XX
787,698,1433,3838,16-Aug-24,
796,699,1434,3846,16-Aug-24,
1050,700,2680,2959,16-Aug-24,
576,703,488,3641,16-Aug-24,EXD-018
577,703,3110,647,16-Aug-24,
1076,704,2439,2425,16-Aug-24,
1077,704,2514,2413,16-Aug-24,
1078,704,2717,2316,16-Aug-24,
414,706,890,2724,08-Aug-24,
415,706,931,2674,08-Aug-24,
416,707,893,1574,08-Aug-24,
417,707,925,2684,08-Aug-24,
418,707,926,2702,08-Aug-24,
419,707,929,2695,08-Aug-24,
420,707,930,2699,08-Aug-24,
421,707,932,2678,08-Aug-24,インラインカッター変更
423,708,924,2681,08-Aug-24,高さ4ｃｍ　新しいプレスカッターある
422,708,933,2679,08-Aug-24,高さが合わないインラインカッターつかう
913,709,1961,2118,16-Aug-24,
1133,710,2966,4178,16-Aug-24,
1135,711,2967,1837,16-Aug-24,
1123,712,2776,1896,16-Aug-24,
424,713,2284,3238,08-Aug-24,
425,713,2285,1831,08-Aug-24,
